CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F87449,F87465,F87481,F87497,F87513,F87528,F87544,F87560,F87576,F87592,F87608
,,,,,"Age : 16 to 74 years old - Travel to work; Means of : Work mainly at or from home - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Underground; metro; light rail; tram (England and Wales only) - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Train - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Bus; minibus or coach - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Driving a car or van - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Taxi or minicab - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Passenger in a car or van - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Motor cycle; scooter or moped - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Bicycle - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : On foot - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Other - Unit : People"
10314,24UG,"24UG : Hart",Districts,DIST,4871,57,2451,591,30312,98,1962,462,1208,3204,284
10315,24UH,"24UH : Havant",Districts,DIST,4293,24,1288,2802,33321,384,3976,712,1993,3972,245
10316,24UJ,"24UJ : New Forest",Districts,DIST,8607,86,1378,1835,50454,134,4099,1110,3293,5384,673
10317,24UL,"24UL : Rushmoor",Districts,DIST,4219,36,2221,1292,30597,185,3051,691,2032,5378,226
10318,24UN,"24UN : Test Valley",Districts,DIST,5899,56,1293,1655,36692,185,3566,689,1667,5157,280
10319,24UP,"24UP : Winchester",Districts,DIST,6387,57,2178,1722,31335,111,2620,528,1012,6987,369
10320,26UB,"26UB : Broxbourne",Districts,DIST,3506,746,4976,1141,26203,456,2174,622,619,2905,134
10321,26UC,"26UC : Dacorum",Districts,DIST,6745,330,4132,2665,42888,285,3858,698,836,6646,233
10322,26UD,"26UD : East Hertfordshire",Districts,DIST,6766,333,6692,1240,41445,309,3098,623,1035,5793,202
10323,26UE,"26UE : Hertsmere",Districts,DIST,4695,1574,4790,1875,25804,357,1987,552,497,3696,171
10324,26UF,"26UF : North Hertfordshire",Districts,DIST,5797,106,4887,1455,35174,243,3151,567,1445,5763,221
10325,26UG,"26UG : St Albans",Districts,DIST,6950,371,9784,1755,37058,159,2747,535,925,5152,236
10326,26UH,"26UH : Stevenage",Districts,DIST,2779,84,2030,2163,24065,187,3152,494,1147,3381,92
10327,26UJ,"26UJ : Three Rivers",Districts,DIST,4136,3265,1848,1149,24704,200,1853,474,531,2243,166
10328,26UK,"26UK : Watford",Districts,DIST,3261,1110,2979,1774,23186,203,2012,499,941,5560,125
10329,26UL,"26UL : Welwyn Hatfield",Districts,DIST,4131,351,3990,1465,26900,240,2567,467,1269,4605,175
10330,29UB,"29UB : Ashford",Districts,DIST,5541,53,2620,1409,29466,143,3171,428,1330,4483,230
10331,29UC,"29UC : Canterbury",Districts,DIST,5696,87,2206,1984,32213,265,3650,579,1744,8283,323
10332,29UD,"29UD : Dartford",Districts,DIST,3044,94,5902,1944,23813,299,2551,800,477,3217,116
10333,29UE,"29UE : Dover",Districts,DIST,3864,39,1086,1618,26900,449,3395,595,1216,5586,293
10334,29UG,"29UG : Gravesham",Districts,DIST,3617,83,3453,3641,24877,177,3252,599,563,3520,181
10335,29UH,"29UH : Maidstone",Districts,DIST,7003,72,4260,2965,42182,188,3954,603,862,7096,289
10336,29UK,"29UK : Sevenoaks",Districts,DIST,5948,104,8473,1020,28837,206,2303,677,481,3783,202
10337,29UL,"29UL : Shepway",Districts,DIST,4192,47,1124,1578,24843,229,3038,437,877,5210,243
10338,29UM,"29UM : Swale",Districts,DIST,5107,59,3649,1576,32896,217,3775,673,1547,5975,238
10339,29UN,"29UN : Thanet",Districts,DIST,4443,61,1315,2717,27461,603,3809,662,1577,6278,267
10340,29UP,"29UP : Tonbridge and Malling",Districts,DIST,5282,63,5150,1458,31938,129,2921,624,920,4370,186
10341,29UQ,"29UQ : Tunbridge Wells",Districts,DIST,5808,72,6259,1290,26889,140,2619,401,616,6516,254
10342,30UD,"30UD : Burnley",Districts,DIST,2806,13,187,3221,21533,258,4056,305,428,5165,116
10343,30UE,"30UE : Chorley",Districts,DIST,4583,29,864,1645,32233,198,3595,490,865,4521,180
10344,30UF,"30UF : Fylde",Districts,DIST,3156,33,358,1238,19968,145,2095,296,1106,3587,236
10345,30UG,"30UG : Hyndburn",Districts,DIST,2625,3,192,2333,21125,218,3159,343,435,4233,104
10346,30UH,"30UH : Lancaster",Districts,DIST,5428,31,739,3114,30834,394,4117,696,2150,8017,386
